품목코드,품명,로트번호,제품라인,제조일자,상태,통번호,통용량,현재위치
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E040K,etc.,2025-11-07,생산대기,2,200.0,5층-A1
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E040K,etc.,2025-11-07,생산대기,3,200.0,5층-A1
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E040K,etc.,2025-11-07,생산대기,4,200.0,5층-A1
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E040K,etc.,2025-11-07,생산대기,5,200.0,5층-A1
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E040K,etc.,2025-11-07,생산대기,6,200.0,5층-A1
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E040K,etc.,2025-11-07,생산대기,7,200.0,5층-A1
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E040K,etc.,2025-11-07,생산대기,8,200.0,5층-A1
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E205I,etc.,2025-09-22,잔량,1,0.0,소진
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E205I,etc.,2025-09-22,잔량,2,0.0,소진
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E205I,etc.,2025-09-22,잔량,3,0.0,소진
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E205I,etc.,2025-09-22,잔량,4,0.0,소진
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E205I,etc.,2025-09-22,잔량,5,0.0,소진
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E205I,etc.,2025-09-22,잔량,6,0.0,소진
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E205I,etc.,2025-09-22,잔량,7,0.0,소진
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E205I,etc.,2025-09-22,잔량,8,0.0,소진
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E205I,etc.,2025-09-22,잔량,9,0.0,소진
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E205I,etc.,2025-09-22,잔량,10,0.0,소진
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E205I,etc.,2025-09-22,잔량,11,0.0,소진
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E205I,etc.,2025-09-22,잔량,12,0.0,소진
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E205I,etc.,2025-09-22,잔량,13,0.0,소진
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E205I,etc.,2025-09-22,잔량,14,0.0,소진
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E205I,etc.,2025-09-22,잔량,15,64.0,5층-A1
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E205I,etc.,2025-09-22,잔량,16,106.0,5층-A1
3VTCLOS-048,VT 레티-에이 리들샷 100_벌크,2E085I,etc.,2025-09-10,생산대기,1,80.0,2층-A1
3VTCLOS-048,VT 레티-에이 리들샷 100_벌크,2E019H,etc.,2025-08-05,생산대기,1,180.0,2층-A1
3VTCLOS-081,VT 블랙트러플 리들샷 100_벌크,2E212D,etc.,2025-04-21,잔량,2,192.0,창고
3OBZPWD-001,Aruen 두부 밀크 효소 파우더 클렌저_벌크,2E034E,etc.,2025-05-08,생산대기,1,13.0,2층-A1
3VTCMSK-027,VT 시카 레티-에이 올인원 3스텝 마스크_STEP3(나이트크림)_벌크,2TA327,사급(유상),2025-01-16,잔량(유상),1,80.0,2층-A1
3REKMKR-002,Rael Beauty Miracle Clear SOS Retinol Chin Mask_벌크(2제 크림),25C006/FCA,사급(유상),2025-03-27,잔량(유상),1,50.0,2층-A1
3REKMKR-002,Rael Beauty Miracle Clear SOS Retinol Chin Mask_벌크(2제 크림),25J014/OJA,사급(유상),2025-09-30,잔량(유상),1,200.0,6층-A1
3REKMKR-002,Rael Beauty Miracle Clear SOS Retinol Chin Mask_벌크(2제 크림),25C005/ECA,사급(유상),2025-03-20,잔량(유상),1,50.0,6층-A1
3OLIPWD-003,그린토마토 딥 포어 클린 엔자임 파우더 워시_벌크,2E121I,etc.,2025-09-12,잔량,1,19.0,6층-A1
3VTCLOS-008,VT 리들샷 700_벌크,2E233E,etc.,2025-05-21,잔량,1,200.0,창고
3VTCLOS-008,VT 리들샷 700_벌크,2E244G,리들샷,2025-07-17,생산대기,1,180.0,2층-A1
3VTCLOS-008,VT 리들샷 700_벌크,2E122H,리들샷,2025-08-14,생산대기,1,90.0,2층-A1
3VTCLOS-008,VT 리들샷 700_벌크,2E053I,리들샷,2025-09-05,외주,1,247.0,외주
3VTCLOS-008,VT 리들샷 700_벌크,2E373E,리들샷,2025-05-31,잔량,1,60.0,6층-A1
3VTCMSK-021,VT 리들 올인원 3스텝 마스크_STEP3(리프트크림)_벌크,E20J34-J20E004,사급(유상),2025-10-20,잔량(유상),1,17.0,6층-A1
3VTCMSK-026,VT 시카 레티-에이 올인원 3스텝 마스크_STEP2(에센스)_벌크,2TA308/A15E001,사급(유상),2025-01-15,잔량(유상),1,80.0,2층-A1
33CLMSK-054,TADA BEAUTY Essential Vitamin C 3-STEP Facial Care_1제(마스크팩)_벌크,2E131D,etc.,2025-04-15,잔량,1,206.0,창고
3MDPMKR-003,메디필 레드 락토 콜라겐 클렌징 오일 2.0_임시사용,2E017E,etc.,2025-05-02,잔량,1,450.0,창고
3FICMSK-001,아로셀 히알B5 수딩 패드_벌크,2E212C,etc.,2025-03-28,잔량,1,55.0,창고
3BSSESS-001,이퀄베리＿퍼플ＰＤＲＮ포어　미니마이징　세럼_벌크,2E042E,etc.,2025-05-08,잔량,1,45.0,창고
3KKMMSK-016,아누아 8 히알루론산 카테킨 카밍 패드_벌크(사급),EJ025,사급(무상),2025-10-30,외주,1,940.0,외주
3VTCLOS-015,VT 시카 카밍 에센스_벌크,2E147J,etc.,2025-10-28,외주,1,610.0,외주
3MDPMKR-003,메디필 레드 락토 콜라겐 클렌징 오일 2.0_임시사용,2E135J,etc.,2025-10-27,잔량,1,50.0,창고
3VTCLOS-053,VT 비타-라이트 리들샷 300_벌크,2E056J,etc.,2025-10-16,외주,1,90.0,외주
3DALHAR-001,쿤달 리치퍼퓸 샴푸 화이트머스크_벌크,2E013J,etc.,2025-10-02,잔량,2,680.0,6층-A1
3VTCLOS-028,VT 콜라겐 리들샷 700_벌크,2E009J,etc.,2025-10-01,잔량,1,90.0,6층-A1
3ORGMSK-008,석류콜라겐캡슐팩_벌크,2E035K,etc.,2025-11-06,생산대기,1,820.0,4층-A1
3COHMSK-001,ZO Skin Health Skin Brightenting Sheet Masque(조 스킨 헬스 브라이트닝 시트 마스크),2E037K,etc.,2025-11-07,외주,1,570.0,외주
3COHMSK-001,ZO Skin Health Skin Brightenting Sheet Masque(조 스킨 헬스 브라이트닝 시트 마스크),2E037K,etc.,2025-11-07,외주,2,560.0,외주
3BSSESS-001,이퀄베리＿퍼플ＰＤＲＮ포어　미니마이징　세럼_벌크,2E045K,etc.,2025-11-07,외주,1,660.0,외주
3BSKMSK-004,원진이펙트 하이드로 라이즈 히알루로닉 마스크팩_벌크(사급),ZH040,사급(무상),2024-08-23,잔량(무상),1,400.0,2층-A1
3KKMMSK-014,니들리 크로스 베리어 마스크(30매)_벌크(사급),EI001,사급(무상),2025-09-25,잔량(무상),1,947.0,5층-A1
3KKMMSK-014,니들리 크로스 베리어 마스크(30매)_벌크(사급),EI001,사급(무상),2025-09-25,잔량(무상),2,858.0,5층-A1
3CMKMSK-011,다이소 슈퍼히알론 캡슐 마스크(3매입)_벌크(사급),H22X005,사급(무상),2024-08-22,잔량(무상),1,21.0,2층-A1
3VTCLOS-244,리들샷 멀티버스 피디알엔 리들샷 100_벌크(사급),25E3004,사급(무상),2025-05-30,잔량(무상),2,5.9,6층-A1
3FNCMSK-002,바닐라코 미스플라워 앤 미스터허니 프로폴리스 리쥬비네이팅 2step마스크_2제벌크,25G003/CGA,사급(무상),2025-07-15,잔량(무상),1,2.5,6층-A1
3VTCCLN-001,브이티 시카 바디워시 (블랙스톤)_벌크,2D156B,etc.,2024-02-21,잔량,1,0.0,소진
3VTCCLN-001,브이티 시카 바디워시 (블랙스톤)_벌크,2D156B,etc.,2024-02-21,잔량,2,200.0,5층-A1
3VTCCLN-001,브이티 시카 바디워시 (블랙스톤)_벌크,2D156B,etc.,2024-02-21,잔량,3,200.0,5층-A1
3IPLMSK-001,스킨푸드 캐롯 카로틴 마스크 7매입_벌크(사급),251021-2/LAP2,사급(무상),2025-10-21,잔량(무상),1,744.0,4층-A1
3IPLMSK-001,스킨푸드 캐롯 카로틴 마스크 7매입_벌크(사급),251021-2/LAP2,사급(무상),2025-10-21,잔량(무상),2,755.8,4층-A1
3KKMMSK-020,하이디 바이 블랑두부 스노우 밀크패드_임가공_벌크(사급),EI001,사급(무상),2025-09-25,잔량(무상),1,0.0,소진
3KKMMSK-020,하이디 바이 블랑두부 스노우 밀크패드_임가공_벌크(사급),EI001,사급(무상),2025-09-25,잔량(무상),2,0.0,소진
